priority_rank,section,entry_type,entry_id,sport,competition,event,market_family,market_selection,line_or_alternatives,pricing_tier,odds_status,evidence_quality,confidence,thesis,counter_evidence,line_sensitivity,correlation_tags,optional_superbet_check_priority,why_useful_even_without_odds,what_odds_needed_only_for_price_stake_decision
11,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_cs2_faze_vs_sinners_2026_07_03t130000_0000_total_maps_line_sensitive_unpriced,cs2,XSE Pro League,FaZe vs Sinners,total_maps,Total maps - operator line requires confirmation :: FaZe,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total maps - operator line requires confirmation` as an analysis-first candidate for FaZe vs Sinners; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,cs2_faze_vs_sinners_2026_07_03t130000_0000; result; total_maps; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
12,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_cs2_parivision_vs_lynn_vision_2026_07_03t080000_0000_total_maps_line_sensitive_unpriced,cs2,XSE Pro League,PARIVISION vs Lynn Vision,total_maps,Total maps - operator line requires confirmation :: PARIVISION,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total maps - operator line requires confirmation` as an analysis-first candidate for PARIVISION vs Lynn Vision; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,cs2_parivision_vs_lynn_vision_2026_07_03t080000_0000; result; total_maps; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
13,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_football_hafnarfjordur_vs_stjarnan_2026_07_03t191500_0000_corners_line_sensitive_unpriced,football,Iceland - Efsta deild,Hafnarfjordur vs Stjarnan,corners,Total corners - operator line requires confirmation :: Hafnarfjordur,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total corners - operator line requires confirmation` as an analysis-first candidate for Hafnarfjordur vs Stjarnan; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,football_hafnarfjordur_vs_stjarnan_2026_07_03t191500_0000; result; corners; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
14,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_football_ir_reykjavik_vs_afturelding_2026_07_03t191500_0000_corners_line_sensitive_unpriced,football,Iceland - 1 deild,IR Reykjavik vs Afturelding,corners,Total corners - operator line requires confirmation :: hdp,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total corners - operator line requires confirmation` as an analysis-first candidate for IR Reykjavik vs Afturelding; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,football_ir_reykjavik_vs_afturelding_2026_07_03t191500_0000; result; corners; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
15,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_football_wolves_vs_rochedale_2026_07_03t093000_0000_corners_line_sensitive_unpriced,football,Australia - Queensland NPL,Wolves vs Rochedale,corners,Total corners - operator line requires confirmation :: hdp,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total corners - operator line requires confirmation` as an analysis-first candidate for Wolves vs Rochedale; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,football_wolves_vs_rochedale_2026_07_03t093000_0000; result; corners; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
16,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_valorant_g2_esports_vs_nongshim_redforce_2026_07_03t134500_0000_total_maps_line_sensitive_unpriced,valorant,Esports World Cup,G2 Esports vs Nongshim RedForce,total_maps,Total maps - operator line requires confirmation :: G2 Esports,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total maps - operator line requires confirmation` as an analysis-first candidate for G2 Esports vs Nongshim RedForce; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,valorant_g2_esports_vs_nongshim_redforce_2026_07_03t134500_0000; result; total_maps; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
17,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_valorant_mibr_los_vs_global_esports_2026_07_03t110000_0000_total_maps_line_sensitive_unpriced,valorant,Esports World Cup,MIBR LOS vs Global Esports,total_maps,Total maps - operator line requires confirmation :: MIBR LOS,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total maps - operator line requires confirmation` as an analysis-first candidate for MIBR LOS vs Global Esports; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,valorant_mibr_los_vs_global_esports_2026_07_03t110000_0000; result; total_maps; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
18,TOP_UNPRICED_DEEP_ANALYTICAL_CANDIDATES,candidate,analysis_valorant_team_heretics_vs_ag_al_international_2026_07_03t110000_0000_total_maps_line_sensitive_unpriced,valorant,Esports World Cup,Team Heretics vs AG.AL International,total_maps,Total maps - operator line requires confirmation :: Team Heretics,LINE_REQUIRES_OPERATOR_CHECK,UNPRICED_DEEP_ANALYTICAL,UNPRICED,MEDIUM,MEDIUM,"Retain `Total maps - operator line requires confirmation` as an analysis-first candidate for Team Heretics vs AG.AL International; the line is unresolved, but the event-level evidence remains useful and the price gate is the only blocker.","Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.; Exact operator-comparable line was not preserved in the provider row.",HIGH,valorant_team_heretics_vs_ag_al_international_2026_07_03t110000_0000; result; total_maps; line_sensitive_unpriced,MEDIUM,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
1,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_073_basketball_austria_vs_poland_2026_07_03t160000_0000_spread,basketball,"International - FIBA World Cup, European Qualifiers, Group F",Austria vs Poland,spread,Spread - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Spread - hdp 1` as a manual Superbet search path for Austria vs Poland; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,basketball_austria_vs_poland_2026_07_03t160000_0000; spread,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
2,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_077_basketball_belgium_vs_france_2026_07_03t183000_0000_spread,basketball,"International - FIBA World Cup, European Qualifiers, Group G",Belgium vs France,spread,Spread - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Spread - hdp 1` as a manual Superbet search path for Belgium vs France; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,basketball_belgium_vs_france_2026_07_03t183000_0000; spread,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
3,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_081_basketball_canterbury_rams_vs_manawatu_jets_2026_07_03t073000_0000_spread,basketball,New Zealand - NBL,Canterbury Rams vs Manawatu Jets,spread,Spread - Canterbury Rams 1 :: Canterbury Rams,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Spread - Canterbury Rams 1` as a manual Superbet search path for Canterbury Rams vs Manawatu Jets; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,basketball_canterbury_rams_vs_manawatu_jets_2026_07_03t073000_0000; spread,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
4,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_085_basketball_china_vs_japan_2026_07_03t113000_0000_spread,basketball,"International - FIBA World Cup, Asian & Oceanian Qualifiers, Gr. B",China vs Japan,spread,Spread - China 1 :: China,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Spread - China 1` as a manual Superbet search path for China vs Japan; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,basketball_china_vs_japan_2026_07_03t113000_0000; spread,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
5,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_078_basketball_cyprus_vs_croatia_2026_07_03t170000_0000_spread,basketball,"International - FIBA World Cup, European Qualifiers, Group E",Cyprus vs Croatia,spread,Spread - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Spread - hdp 1` as a manual Superbet search path for Cyprus vs Croatia; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,basketball_cyprus_vs_croatia_2026_07_03t170000_0000; spread,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
6,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_079_basketball_cyprus_vs_croatia_2026_07_03t170000_0000_totals,basketball,"International - FIBA World Cup, European Qualifiers, Group E",Cyprus vs Croatia,totals,Total points - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Total points - hdp 1` as a manual Superbet search path for Cyprus vs Croatia; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,basketball_cyprus_vs_croatia_2026_07_03t170000_0000; totals,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
7,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_087_basketball_finland_vs_hungary_2026_07_03t153000_0000_spread,basketball,"International - FIBA World Cup, European Qualifiers, Group G",Finland vs Hungary,spread,Spread - Finland 1 :: Finland,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Spread - Finland 1` as a manual Superbet search path for Finland vs Hungary; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,basketball_finland_vs_hungary_2026_07_03t153000_0000; spread,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
8,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_071_basketball_israel_vs_germany_2026_07_03t170000_0000_spread,basketball,"International - FIBA World Cup, European Qualifiers, Group E",Israel vs Germany,spread,Spread - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Spread - hdp 1` as a manual Superbet search path for Israel vs Germany; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,basketball_israel_vs_germany_2026_07_03t170000_0000; spread,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
9,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_083_basketball_korea_republic_vs_chinese_taipei_2026_07_03t103000_0000_spread,basketball,"International - FIBA World Cup, Asian & Oceanian Qualifiers, Gr. B",Korea Republic vs Chinese Taipei,spread,Spread - Korea Republic 1 :: Korea Republic,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Spread - Korea Republic 1` as a manual Superbet search path for Korea Republic vs Chinese Taipei; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,basketball_korea_republic_vs_chinese_taipei_2026_07_03t103000_0000; spread,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
10,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_075_basketball_netherlands_vs_latvia_2026_07_03t173000_0000_spread,basketball,"International - FIBA World Cup, European Qualifiers, Group F",Netherlands vs Latvia,spread,Spread - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Spread - hdp 1` as a manual Superbet search path for Netherlands vs Latvia; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,basketball_netherlands_vs_latvia_2026_07_03t173000_0000; spread,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
11,TOP_PARTIALLY_PRICED_ANALYTICAL_CANDIDATES,candidate,cand_104_cs2_big_vs_mibr_2026_07_03t080000_0000_map_handicap,cs2,XSE Pro League,BIG vs MIBR,map_handicap,Map handicap - hdp 1 :: hdp,1,PARTIALLY_PRICED_ANALYTICAL,PARTIALLY_PRICED,MEDIUM,LOW,Use `Map handicap - hdp 1` as a manual Superbet search path for BIG vs MIBR; promotion remains quote-review-only until the operator confirms the exact visible line and odds.,"Independent lineup, injury, and referee feeds were not preserved in the upstream artifact set.; The Odds API provenance is auditable but still not event-specific raw bookmaker capture strength.",HIGH,cs2_big_vs_mibr_2026_07_03t080000_0000; map_handicap,NOT_NEEDED_NOW,Analysis is evidence-led and price only gates EV/stake/final coupon.,"Human-entered Superbet market, exact line, decimal odds, timestamp, and correlation gate result."
